Tweets,Subjectivity,Polarity,Analysis
"2350:  I have been trying to get a refund on my 2 tickets since August 2021. Every time I contact customer care, all t…",0.0,0.0,Neutral
"Extreme heat, droughts, floods and storms, ultraviolet radiation, ozone exposure, and air pollution all have direct consequences for human health. 

Why India needs a plan to mitigate these factors all the way down to the local level. 

",0.3577777777777778,-0.036111111111111115,Negative
"_IDS_India: During their ongoing visit to India, Gen Angus Campbell, Chief of Defence Forces &amp; Mr Greg Moriarty, Secretary, Dept of D…",0.0,0.0,Neutral
" Who was owner of  you know that, also you know about JRD TATA???

He was the first pilot of Air India, took charge of the cockpit in 1932, when your so called coward pilot was not born… ",0.3333333333333333,0.25,Positive
"_IDS_India: During their ongoing visit to India, Gen Angus Campbell, Chief of Defence Forces &amp; Mr Greg Moriarty, Secretary, Dept of D…",0.0,0.0,Neutral
"_IDS_India: During their ongoing visit to India, Gen Angus Campbell, Chief of Defence Forces &amp; Mr Greg Moriarty, Secretary, Dept of D…",0.0,0.0,Neutral
"_IDS_India: During their ongoing visit to India, Gen Angus Campbell, Chief of Defence Forces &amp; Mr Greg Moriarty, Secretary, Dept of D…",0.0,0.0,Neutral
"_IDS_India: During their ongoing visit to India, Gen Angus Campbell, Chief of Defence Forces &amp; Mr Greg Moriarty, Secretary, Dept of D…",0.0,0.0,Neutral
"WWDC 2022 expectations: iOS 16, MacBook Air 2022, and everything else Apple is likely to launch - India Today ",1.0,0.0,Neutral
air india customer service will be the death of me,0.0,0.0,Neutral
"THE ROYAL CANADIAN AIR FORCE (RCAF)
The RCAF is no different and is part of the Canadian Armed Forces and the National Defence. It defends and protects Canadian and North American 

READ MORE: 

airforce india usa army  america  aviation military",0.30000000000000004,0.1,Positive
"During their ongoing visit to India, Gen Angus Campbell, Chief of Defence Forces &amp; Mr Greg Moriarty, Secretary, Dept of Defence, Australia discussed bilateral defence &amp; strategic issues with Air Marshal BR Krishna, CISC, Lt Gen GAV Reddy, DGDIA &amp; V Adm SJ Singh, Dy Chief (Ops) ",0.0,0.0,Neutral
": We're delighted that 1458 is a Media Partner for our Ideas for India conference. On air since 2014 on 1458AM,…",0.7,0.7,Positive
_: Sebak melihat ujian hidup di tengah Bandar besar. 1001 cerita disebalik waktu malam di KL. 12malam 200 bungkus makanan dan ai…,0.0,0.0,Neutral
  7  Dekh lo bhai pak people ne hi ni dekha 😭😭 Anyways you should definitely watch it you'll die laughing 🤣 entertainment 100000% guaranteed &amp; it's more &amp; more special cause woh india main air hua tha tv pe Zee zindagi pe 🥺👉👈,0.4809523809523809,0.3047619047619048,Positive
_: Sebak melihat ujian hidup di tengah Bandar besar. 1001 cerita disebalik waktu malam di KL. 12malam 200 bungkus makanan dan ai…,0.0,0.0,Neutral
_: Sebak melihat ujian hidup di tengah Bandar besar. 1001 cerita disebalik waktu malam di KL. 12malam 200 bungkus makanan dan ai…,0.0,0.0,Neutral
"3551  _Scindia  Better to wait until Tata Group complete the takeover. Don't think your grievances will be heard pal.
Why fly Air India in the first place? Vistara much better and marginal difference in price.",0.5266666666666666,0.43,Positive
_: Sebak melihat ujian hidup di tengah Bandar besar. 1001 cerita disebalik waktu malam di KL. 12malam 200 bungkus makanan dan ai…,0.0,0.0,Neutral
"_Tweets_ 87 huh? pretty sure anime is not banned in india- it just doesnt air on tv a lot. also everyone watching pokemon at some point is true for a lot of countries, not just india",0.8462962962962962,0.3666666666666667,Positive
": UNEP &amp; _WLTrade,  &amp;  have joined forces to launch  ""Deterring and Disrupting Wildlife Trafficking in the…",0.0,0.0,Neutral
"Sebak melihat ujian hidup di tengah Bandar besar. 1001 cerita disebalik waktu malam di KL. 12malam 200 bungkus makanan dan air serta duit raya. Ada kawasan orang cina,kawasan India, Melayu. ",0.0,0.0,Neutral
" 10   Man, my dad was ATC so had no time to chill but told me how other departments used to function especially like Admin and folks in DGCA and Air India. Corrupted as hell. Air India kids used to travel business class for entrance exams. I saw it with my own eyes.",0.7916666666666666,0.15833333333333333,Positive
" 3rd class call center. They don't even have good quality headphones. And the staff is arrogant they disconnect the call without informing to you. Don't ever travel with Vistara.
6E is the best....
Vistara will beat the air india in 3rd class services.",0.2,0.32,Positive
"AirPollution is currently the second-leading cause of sickness in the country, accounting for 10% of the disease burden. Health AirQuality   

",0.4,0.0,Neutral
"On WorldPilotsDay, our salute to the brave aviators across India and around the world! WorldPilotDay RajeevGandhi flightrider PrimeMinisterOfIndia risktakers jet pilots pilot aviation pilotlife avgeek karyakarta aviationphotography aviationlovers aviationgeek air ",1.0,1.0,Positive
"Suddenly my mother wants me to drop all my hopes and dreams, so that I can become an Air Hostess for Air india???",0.3,0.1,Positive
"2000: Welcome back, Air India 🛬🏠 ",0.45,0.4,Positive
As  didn't reply we booked flight with  thanks for prompt help Air India 👍 ,0.2,0.2,Positive
46  I'm shocked you are not worried about the carbon footprint of China of India?  Thier pollution is so significant it makes our air dirty..  And you talk about a lightbulb?  🤔,0.8250000000000001,-0.3083333333333333,Negative
" 

And they say Privatisation is the panacea",0.0,0.0,Neutral
"18Live: Several companies like LG Electronics, Mitsubishi Electric, Adani Copper Tubes, Jindal Poly films, Crompton Greaves, Wipr…",0.0,0.0,Neutral
 Keh bhi kon raha hai jahan india main daily students keh saath harassment hoti hai air religion keh naam par maara jata hai students ko don't tell us yahan kia hua pehle apne girehbaan main jhanko hindu extremists!,0.2222222222222222,0.125,Positive
"         _India _India Need reforms change PPP in govt, not corrupted govt need clean air water affordable quality food education healthcare, not densely populated slums, dilapidated illegal buildings, congested narrow roads stop littering gutka spitting urine passing, blanket ban on loudspeakers",0.5333333333333333,-0.1111111111111111,Negative
"18Live: Several companies like LG Electronics, Mitsubishi Electric, Adani Copper Tubes, Jindal Poly films, Crompton Greaves, Wipr…",0.0,0.0,Neutral
"Several companies like LG Electronics, Mitsubishi Electric, Adani Copper Tubes, Jindal Poly films, Crompton Greaves, Wipro, Zeco Aircon, Starion India and Swaminathan Enterprises are among companies which have applied for manufacturing components of Air conditioners &amp; LED Lights",0.0,0.0,Neutral
"Air quality in New Delhi US Embassy, India (नई दिल्ली अमेरिकी दूतावास) is 151 (pm25)

At: 2022-04-26 19:00:00
Source: World Meteorological Organization - surface synoptic observations (WMO-SYNOP) 
",0.45454545454545453,0.13636363636363635,Positive
"This is how our air reconnaissance works together with the Armed Forces of Ukraine 💪 And combat drones help to destroy enemy armored vehicles.

 In addition, daily air reconnaissance conducts almost 300 missions to monitor the movement..

Ukraine EU European US CINA INDIA ",0.0,-0.06666666666666667,Negative
"_Plaha: India has a legacy of 'democracy failures' like failure to provide education, healthcare, clean air, adequate nourishment,…",0.4444444444444444,0.12777777777777777,Positive
": Air India Flights to Hong Kong Banned Till April 24 After 3 Passengers Test Covid-Positive.


…",0.0,0.0,Neutral
5252 Next time India should not send air planes just send a letter to Bajwa.,0.0,0.0,Neutral
 Orang di sana pake filteran air gitu gak? Di India aku liat pada pake itu jadi orang tinggal masukin dari keran aja. Repotnya nambah biaya PAM tapi ya mending daripada beli botol terus...,0.0,0.0,Neutral
: Tata Group is in talks with both the govt and operators of Mumbai airport to renegotiate the leasing agreements for th…,0.0,0.0,Neutral
": NewsAlert | Akasa Air, India’s newest carrier, will begin commercial operations in July. ",0.0,0.0,Neutral
"Tata Group is in talks with both the govt and operators of Mumbai airport to renegotiate the leasing agreements for the land on which Air India’s residential colonies are built in the two cities.

Read more 👇


by _K  TataGroup AirIndia",0.5,0.5,Positive
